l1,l2,l3
230.7121527916528,233.9006553446553,234.12325611888116
230.57683730158737,233.41285317460316,233.91268650793648
229.76714072039078,233.49867857142857,234.13238278388275
229.21267857142854,232.30791666666673,233.419880952381
230.04041666666672,231.6729166666667,233.21583333333328
230.1349166666667,230.7017142857143,233.48028571428574
229.52477182539687,232.2014384920635,233.41601190476197
230.09842485410616,232.88530527073115,233.3764584635136
228.65906944444447,231.92658333333335,232.35668055555553
227.72982142857143,230.32482142857143,230.1330357142857
227.74257142857138,230.82885714285715,231.40248809523803
228.01333333333335,231.11833333333337,231.4
226.86,230.885,231.145
227.39275,231.36208333333335,232.21875
227.606,231.857,232.27200000000002
229.3437825091575,231.93044734432226,233.44815827228325
229.7229047619048,232.36707142857148,233.00229761904768
229.51222222222222,232.67229960317462,232.0823174603173
230.4170753968253,232.72155158730163,233.1844642857143
231.14842658730157,233.0086349206349,233.9992261904762
230.88333333333333,232.9845,234.24683333333337
229.4074715007214,232.11988816738835,232.28087067099565
229.20625000000004,231.475,232.01416666666668
229.44943055555552,232.25623304473302,232.47011670274173
227.91930158730153,231.45654761904768,231.93792460317468
227.91930158730153,231.45654761904768,231.93792460317468
227.74738059163062,231.22043470418467,231.61278986291487
227.86468650793654,231.77378968253967,231.97631746031743
227.96732142857144,231.59892857142856,232.20875
227.85133333333334,230.30083333333334,231.87983333333332
229.2291408730159,230.88266666666678,232.53744047619045
228.615,231.09,232.385
229.90586904761898,233.0626488095238,234.19227976190467
231.31075000000004,233.62149999999997,234.69908333333336
230.775,233.175,234.32
229.2295707070707,232.67015909090907,232.40518055555552
229.2295707070707,232.67015909090907,232.40518055555552
229.76714072039078,233.49867857142857,234.13238278388275
231.09725457875456,233.7888811050061,234.1101087107337
231.3481214896215,233.71889360639364,234.41328260628256
230.21875,233.00083333333333,233.31625000000003
229.3437825091575,231.93044734432226,233.44815827228325
229.05875,231.86575000000002,232.79575
229.3660847763348,232.62831259018765,231.6771626984128
229.4314397546898,232.8699507575758,233.7395616883117
230.44625,233.24125,234.4186666666667
231.05183333333335,234.4174166666667,235.46491666666668
231.46958333333333,234.9675,235.01
231.075,235.1,235.385
230.76966666666667,234.76458333333332,235.57174999999998
230.32085119047616,233.1511298701299,233.76306295093798
229.21255050505053,232.59904040404032,232.99666666666667
229.90057142857145,232.42651984126985,233.14128968253965
230.09842485410616,232.88530527073115,233.3764584635136
230.48879960317464,233.40107323232328,234.11379653679657
229.5824146825397,232.63547817460315,233.1603908730159
228.9682638888889,232.06782738095237,232.5348234126984
228.93341915029407,232.37686086136083,232.9158330835831
229.8056471612323,232.48947725180747,233.07738610175093
228.98235714285715,231.519511904762,232.16681547619052
229.05762481962475,231.5928874458874,231.29917388167397
229.4074715007214,232.11988816738835,232.28087067099565
228.93341915029407,232.37686086136083,232.9158330835831
228.776243624431,231.88701006632246,231.9114470737596
228.9274047619048,232.25955952380943,231.9646607142857
228.11541666666665,231.58916666666664,231.50916666666663
229.2970238095239,231.62596428571433,232.8227142857143
228.83007142857147,231.8020952380952,233.0393333333333
228.83007142857147,231.8020952380952,233.0393333333333
228.77387265512266,231.751586038961,232.07887157287155
228.53698809523812,231.5342857142858,231.2213928571429
228.9297559523809,232.07754761904758,231.92983928571425
227.86468650793654,231.77378968253967,231.97631746031743
227.86468650793654,231.77378968253967,231.97631746031743
227.86468650793654,231.77378968253967,231.97631746031743
228.71092063492068,232.5951984126985,232.80965079365077
229.295,233.196,233.851
227.735,233.755,234.99
228.55,233.455,234.06
229.76714072039078,233.49867857142857,234.13238278388275
229.05738095238092,231.91776190476196,232.0370039682539
228.09599999999998,231.78366666666668,232.1461666666667
227.805,233.25,233.7
228.546,234.43669047619053,234.9616904761905
227.50433333333334,232.56933333333333,233.07433333333336
226.91549999999998,231.41916666666668,232.17916666666667
229.00290671175225,232.11743172024046,232.34699140891783
230.5504408091908,233.48775426656667,233.28843464868456
230.56166666666664,233.7625,233.62
229.82666666666668,234.09625,232.84708333333333
229.2537142857143,232.90942857142858,231.5924285714286
228.44733333333335,231.8961666666667,230.96724999999998
230.7121527916528,233.9006553446553,234.12325611888116
230.7121527916528,233.9006553446553,234.12325611888116
230.48879960317464,233.40107323232328,234.11379653679657
229.15814285714288,232.56540476190474,232.94285714285715
229.76714072039078,233.49867857142857,234.13238278388275
230.38286850649348,234.0128787878788,233.9013035714285
230.2867738095238,233.69938095238095,233.99428571428572
230.81924999999995,232.9992619047619,234.20154761904763
231.2142619047619,233.5244761904762,233.80069047619045
231.3481214896215,233.71889360639364,234.41328260628256
230.53516666666667,233.2994166666667,233.9345833333333
230.09842485410616,232.88530527073115,233.3764584635136
229.315,232.685,233.14
226.435,231.125,232.0025
226.46495833333336,231.003625,231.8555833333333
227.1315,231.53149999999997,231.98649999999998
227.1315,231.53149999999997,231.98649999999998
227.34,231.455,232.1025
227.74257142857138,230.82885714285715,231.40248809523803
229.90682738095234,232.45360714285718,232.75147619047624
229.02843122155627,232.1142815656566,232.1179590548341
229.96653932178938,232.46461670274172,232.4725393217894
229.02843122155627,232.1142815656566,232.1179590548341
228.9682638888889,232.06782738095237,232.5348234126984
229.4469087986962,232.48328448396293,233.19317884796223
229.52477182539687,232.2014384920635,233.41601190476197
231.3481214896215,233.71889360639364,234.41328260628256
230.4170753968253,232.72155158730163,233.1844642857143
229.4469087986962,232.48328448396293,233.19317884796223
228.97797619047617,232.3092261904762,232.77414285714286
228.1973690476191,231.6513928571429,232.3237976190477
228.1973690476191,231.6513928571429,232.3237976190477
230.22291468253974,233.58096230158728,233.85617063492063
230.12025937950943,233.09370093795093,233.31886904761907
229.71200000000005,231.70495833333334,231.99729166666668
230.4247083333334,232.46029166666665,233.6323333333333
229.4514424603175,231.86407936507942,232.61703174603176
229.8056471612323,232.48947725180747,233.07738610175093
229.2029285714286,232.63109706959705,232.93096703296706
229.66991666666664,233.24775000000002,233.26166666666668
230.6322996031746,233.3712599206349,233.6472797619047
229.64975000000007,233.12529166666667,232.9935833333333
229.28042857142856,232.52221428571428,232.32466666666667
230.5504408091908,233.48775426656667,233.28843464868456
230.9909682539682,234.23773412698415,233.98437698412698
231.46958333333333,234.9675,235.01
231.42582142857142,234.44333531746034,234.4114642857143
231.42582142857142,234.44333531746034,234.4114642857143
231.53541666666663,234.69083333333336,234.2225
232.81639285714286,235.5,235.0
232.81639285714286,235.5,235.0
232.81639285714286,235.5,235.0
232.50875000000005,235.3763194444444,235.100625
232.25833333333335,235.45858333333334,235.50858333333335
232.68166666666667,235.93125,235.71958333333333
232.68166666666667,235.93125,235.71958333333333
232.50875000000005,235.3763194444444,235.100625
232.09383333333332,234.98,234.78
231.58473394660905,234.37773538961042,234.3571708152958
230.5504408091908,233.48775426656667,233.28843464868456
230.5504408091908,233.48775426656667,233.28843464868456
230.5504408091908,233.48775426656667,233.28843464868456
230.78716666666662,233.78075,233.262
229.89642857142866,232.62857142857146,231.9282142857142
229.05762481962475,231.5928874458874,231.29917388167397
228.8069166666667,230.8459166666667,230.63983333333334
230.21345238095236,232.51657142857144,232.34197619047617
230.14458333333332,232.9212023809524,232.423
229.05762481962475,231.5928874458874,231.29917388167397
230.30569047619042,232.83784523809524,232.7000773809524
230.43508333333332,233.0215,232.87483333333333
229.82725,231.43966666666662,231.44966666666664
228.81165349927852,232.17431818181817,231.5758235930736
228.6724603174603,231.60427380952385,230.88110714285713
228.59708333333336,231.42708333333337,230.53708333333336
229.01833333333332,232.72926785714284,232.11244047619047
228.53514636752138,232.64620405982907,232.1346025641026
229.2550119047619,232.8726488095238,232.01877380952385
229.01833333333332,232.72926785714284,232.11244047619047
228.51904761904763,233.36321428571426,232.76071428571427
229.20658333333333,232.29624999999996,232.39658333333335
228.89240277777776,231.70043650793647,231.3747757936508
228.82614203851696,231.65481931956924,231.7042903346654
228.9274047619048,232.25955952380943,231.9646607142857
228.0136993284493,232.0993125763126,231.91948778998778
228.065,232.7525,232.4129166666667
229.2029285714286,232.63109706959705,232.93096703296706
228.84,233.375,233.47
227.61,233.36,233.515
228.41958333333324,233.96604166666668,233.28958333333333
229.47283333333334,233.36058333333335,232.47875
229.56200000000004,233.19424999999998,232.2694166666667
228.71241666666663,232.479,232.84158333333338
229.342761904762,232.82894047619047,233.1661428571428
